id;fio;phone;shop_address
1;mobile Fish;551.410.0483 x6176;Tasty Metal Bacon
2;red Chips Soap;1-650-402-5631;zero administration
3;Multi-channelled Licensed;135-954-0866 x1400;Usability South Dakota envisioneer
4;Intelligent;(246) 164-8019 x3216;hardware Costa Rica Mayotte
5;Industrial;749-389-5793 x05150;software scale interactive
6;Louisiana Specialist Home Loan Account;(128) 100-9473;24 hour
7;overriding;1-777-760-9361 x9886;archive Fantastic Plastic Chicken
8;payment;628.543.1978 x775;compress
9;Sleek Metal Table Small;120-864-3556 x912;relationships override
10;Brand;261.896.8261 x848;maroon
