id;fio;phone;address;total_price
1;EXE projection Fresh;391.226.4083;ability Hat Iraq;48482
2;Bahamian Dollar;(329) 132-5574;Tasty Concrete Chips Exclusive;69630
3;card Plastic;026.954.0023 x96261;Berkshire Designer;24205
4;Bulgarian Lev navigate;278-346-9635;Licensed hacking installation;18651
5;Refined Rubber Gloves Algerian Dinar Clothing;1-823-601-9633 x598;Forint;73521
6;azure;1-862-261-8955 x522;Tasty Customer Human;63310
7;B2B;1-778-888-4786;Unbranded Cheese Dynamic;60642
8;Tools Unbranded;(902) 135-4646 x9217;Networked;32539
9;navigate;787-635-5053 x6222;Strategist target;89204
10;withdrawal cross-platform Borders;648.127.4250 x760;Representative;46994
