id;date;name;count;price;buyer_phone;buyer_address;buyer_fio
1;2019-12-13;Jamaica Credit Card Account;41960;4771;Louisiana;hack;leading-edge
2;2019-12-13;Small;31141;85546;Colombian Peso Unidad de Valor Real Bridge Handmade;online e-business;systems integrate
3;2019-12-13;invoice Gorgeous Cotton Chair Personal Loan Account;50313;50103;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina
4;2019-12-13;haptic parsing;62593;38610;Branding Dynamic black;yellow;Books Generic
5;2019-12-13;Handcrafted Plastic Shirt quantifying;2327;34062;directional Avon Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China
6;2019-12-13;South Dakota Wyoming interface;12768;37201;quantify;JSON Texas;bandwidth
7;2019-12-13;compress Fantastic Global;50525;49656;monetize superstructure Fantastic;Industrial;bypassing granular Usability
8;2019-12-13;Borders Borders Practical;9170;29321;knowledge user Danish Krone;Data neural Wooden;Cambridgeshire Tasty Rubber Car mindshare
9;2019-12-13;cross-media Frozen;14299;68803;generating SDD bypassing;Algerian Dinar Fantastic Fresh Salad;Steel Avon Visionary
10;2019-12-13;PCI SAS;23668;94724;Planner navigate repurpose;Buckinghamshire;Oklahoma communities
