id;fio;phone;address;shop;plitka_count
1;morph tertiary payment;809-187-8640 x522;olive;Kids Incredible;Florida THX Idaho
2;Licensed Visionary pixel;(889) 396-1242 x38006;microchip;Music Salad North Carolina;circuit Forward
3;frictionless solution-oriented;350.286.3475;applications context-sensitive;Consultant back-end Fresh;Cambridgeshire Central
4;Table Avon Bedfordshire;1-566-422-1684 x9159;Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna
5;calculating yellow;112-928-7526;withdrawal Towels;navigating seize generate;Fantastic Wooden Chips microchip
6;Generic;203.824.3977 x2659;reintermediate Factors;sensor;4th generation
7;clear-thinking Auto Loan Account;(849) 513-6741;Incredible interface;feed Investment Account;Centralized bypassing
8;Clothing Engineer Toys;1-330-899-1796;Cocos (Keeling) Islands Awesome;USB alarm 1080p;feed invoice
9;Triple-buffered Borders magenta;096.007.5991 x55493;Metal;complexity Direct Administrator;online program Refined Granite Gloves
10;quantifying Baby;325.140.8653 x474;Kansas;Maldives bluetooth policy;Timor-Leste e-commerce
